"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"02/01/2024 06:30 - 02/01/2024 06:45","Spain (ES)","21480.00","22083.00"
"02/01/2024 06:45 - 02/01/2024 07:00","Spain (ES)","22136.00","23030.00"
"02/01/2024 07:00 - 02/01/2024 07:15","Spain (ES)","22952.00","24157.00"
"02/01/2024 07:15 - 02/01/2024 07:30","Spain (ES)","24340.00","25050.00"
"02/01/2024 07:30 - 02/01/2024 07:45","Spain (ES)","25056.00","25864.00"
"02/01/2024 07:45 - 02/01/2024 08:00","Spain (ES)","25924.00","26599.00"
"02/01/2024 08:00 - 02/01/2024 08:15","Spain (ES)","26540.00","27429.00"
"02/01/2024 08:15 - 02/01/2024 08:30","Spain (ES)","27376.00","28029.00"
"02/01/2024 08:30 - 02/01/2024 08:45","Spain (ES)","28080.00","28566.00"
"02/01/2024 08:45 - 02/01/2024 09:00","Spain (ES)","28424.00","29038.00"
"02/01/2024 09:00 - 02/01/2024 09:15","Spain (ES)","28724.00","29601.00"
"02/01/2024 09:15 - 02/01/2024 09:30","Spain (ES)","29364.00","29932.00"
"02/01/2024 09:30 - 02/01/2024 09:45","Spain (ES)","29784.00","30186.00"
"02/01/2024 09:45 - 02/01/2024 10:00","Spain (ES)","30052.00","30370.00"
"02/01/2024 10:00 - 02/01/2024 10:15","Spain (ES)","30308.00","30599.00"
"02/01/2024 10:15 - 02/01/2024 10:30","Spain (ES)","30492.00","30661.00"
"02/01/2024 10:30 - 02/01/2024 10:45","Spain (ES)","30660.00","30672.00"
"02/01/2024 10:45 - 02/01/2024 11:00","Spain (ES)","30632.00","30638.00"
"02/01/2024 11:00 - 02/01/2024 11:15","Spain (ES)","30508.00","30621.00"
"02/01/2024 11:15 - 02/01/2024 11:30","Spain (ES)","30488.00","30515.00"
"02/01/2024 11:30 - 02/01/2024 11:45","Spain (ES)","30356.00","30385.00"
"02/01/2024 11:45 - 02/01/2024 12:00","Spain (ES)","30288.00","30247.00"
"02/01/2024 12:00 - 02/01/2024 12:15","Spain (ES)","30340.00","30054.00"
"02/01/2024 12:15 - 02/01/2024 12:30","Spain (ES)","30300.00","29963.00"
"02/01/2024 12:30 - 02/01/2024 12:45","Spain (ES)","30336.00","29917.00"
"02/01/2024 12:45 - 02/01/2024 13:00","Spain (ES)","30444.00","29902.00"
"02/01/2024 13:00 - 02/01/2024 13:15","Spain (ES)","30440.00","29932.00"
"02/01/2024 13:15 - 02/01/2024 13:30","Spain (ES)","30708.00","29910.00"
"02/01/2024 13:30 - 02/01/2024 13:45","Spain (ES)","30936.00","29855.00"
"02/01/2024 13:45 - 02/01/2024 14:00","Spain (ES)","30852.00","29775.00"
"02/01/2024 14:00 - 02/01/2024 14:15","Spain (ES)","31024.00","29676.00"
"02/01/2024 14:15 - 02/01/2024 14:30","Spain (ES)","30928.00","29582.00"
"02/01/2024 14:30 - 02/01/2024 14:45","Spain (ES)","31076.00","29497.00"
"02/01/2024 14:45 - 02/01/2024 15:00","Spain (ES)","31016.00","29427.00"
"02/01/2024 15:00 - 02/01/2024 15:15","Spain (ES)","30856.00","29325.00"
"02/01/2024 15:15 - 02/01/2024 15:30","Spain (ES)","30636.00","29292.00"
"02/01/2024 15:30 - 02/01/2024 15:45","Spain (ES)","30564.00","29285.00"
"02/01/2024 15:45 - 02/01/2024 16:00","Spain (ES)","30524.00","29319.00"
"02/01/2024 16:00 - 02/01/2024 16:15","Spain (ES)","30452.00","29258.00"
"02/01/2024 16:15 - 02/01/2024 16:30","Spain (ES)","30484.00","29422.00"
"02/01/2024 16:30 - 02/01/2024 16:45","Spain (ES)","30392.00","29673.00"
"02/01/2024 16:45 - 02/01/2024 17:00","Spain (ES)","30428.00","30000.00"
"02/01/2024 17:00 - 02/01/2024 17:15","Spain (ES)","30572.00","30331.00"
"02/01/2024 17:15 - 02/01/2024 17:30","Spain (ES)","30736.00","30762.00"
"02/01/2024 17:30 - 02/01/2024 17:45","Spain (ES)","30896.00","31217.00"
"02/01/2024 17:45 - 02/01/2024 18:00","Spain (ES)","31088.00","31659.00"
"02/01/2024 18:00 - 02/01/2024 18:15","Spain (ES)","31644.00","32261.00"
"02/01/2024 18:15 - 02/01/2024 18:30","Spain (ES)","32016.00","32548.00"
"02/01/2024 18:30 - 02/01/2024 18:45","Spain (ES)","32408.00","32706.00"
"02/01/2024 18:45 - 02/01/2024 19:00","Spain (ES)","32648.00","32770.00"
"02/01/2024 19:00 - 02/01/2024 19:15","Spain (ES)","32868.00","32761.00"
"02/01/2024 19:15 - 02/01/2024 19:30","Spain (ES)","32860.00","32785.00"
"02/01/2024 19:30 - 02/01/2024 19:45","Spain (ES)","32668.00","32851.00"
"02/01/2024 19:45 - 02/01/2024 20:00","Spain (ES)","32860.00","32948.00"
"02/01/2024 20:00 - 02/01/2024 20:15","Spain (ES)","32968.00","33112.00"
"02/01/2024 20:15 - 02/01/2024 20:30","Spain (ES)","33096.00","33198.00"
"02/01/2024 20:30 - 02/01/2024 20:45","Spain (ES)","33340.00","33240.00"
"02/01/2024 20:45 - 02/01/2024 21:00","Spain (ES)","33556.00","33202.00"
"02/01/2024 21:00 - 02/01/2024 21:15","Spain (ES)","33700.00","33372.00"
"02/01/2024 21:15 - 02/01/2024 21:30","Spain (ES)","33456.00","33053.00"
"02/01/2024 21:30 - 02/01/2024 21:45","Spain (ES)","33172.00","32549.00"
"02/01/2024 21:45 - 02/01/2024 22:00","Spain (ES)","32608.00","31896.00"
"02/01/2024 22:00 - 02/01/2024 22:15","Spain (ES)","31972.00","31239.00"
"02/01/2024 22:15 - 02/01/2024 22:30","Spain (ES)","30920.00","30435.00"
"02/01/2024 22:30 - 02/01/2024 22:45","Spain (ES)","30272.00","29628.00"
"02/01/2024 22:45 - 02/01/2024 23:00","Spain (ES)","29588.00","28840.00"
"02/01/2024 23:00 - 02/01/2024 23:15","Spain (ES)","28756.00","28009.00"
"02/01/2024 23:15 - 02/01/2024 23:30","Spain (ES)","27896.00","27318.00"
"02/01/2024 23:30 - 02/01/2024 23:45","Spain (ES)","27236.00","26694.00"
"02/01/2024 23:45 - 03/01/2024 00:00","Spain (ES)","26500.00","26124.00"
"03/01/2024 00:00 - 03/01/2024 00:15","Spain (ES)","25768.00","25559.00"
"03/01/2024 00:15 - 03/01/2024 00:30","Spain (ES)","25356.00","25021.00"
"03/01/2024 00:30 - 03/01/2024 00:45","Spain (ES)","25068.00","24500.00"
"03/01/2024 00:45 - 03/01/2024 01:00","Spain (ES)","24472.00","24015.00"
"03/01/2024 01:00 - 03/01/2024 01:15","Spain (ES)","23884.00","23458.00"
"03/01/2024 01:15 - 03/01/2024 01:30","Spain (ES)","23448.00","23098.00"
"03/01/2024 01:30 - 03/01/2024 01:45","Spain (ES)","23048.00","22817.00"
"03/01/2024 01:45 - 03/01/2024 02:00","Spain (ES)","22544.00","22591.00"
"03/01/2024 02:00 - 03/01/2024 02:15","Spain (ES)","22192.00","22416.00"
"03/01/2024 02:15 - 03/01/2024 02:30","Spain (ES)","21964.00","22204.00"
"03/01/2024 02:30 - 03/01/2024 02:45","Spain (ES)","21640.00","21961.00"
"03/01/2024 02:45 - 03/01/2024 03:00","Spain (ES)","21532.00","21714.00"
"03/01/2024 03:00 - 03/01/2024 03:15","Spain (ES)","21308.00","21359.00"
"03/01/2024 03:15 - 03/01/2024 03:30","Spain (ES)","21172.00","21209.00"
"03/01/2024 03:30 - 03/01/2024 03:45","Spain (ES)","21212.00","21151.00"
"03/01/2024 03:45 - 03/01/2024 04:00","Spain (ES)","21056.00","21165.00"
"03/01/2024 04:00 - 03/01/2024 04:15","Spain (ES)","20892.00","21195.00"
"03/01/2024 04:15 - 03/01/2024 04:30","Spain (ES)","20840.00","21268.00"
"03/01/2024 04:30 - 03/01/2024 04:45","Spain (ES)","20956.00","21339.00"
