"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"09/05/2024 04:15 - 09/05/2024 04:30","Spain (ES)","21464.00","21208.00"
"09/05/2024 04:30 - 09/05/2024 04:45","Spain (ES)","21484.00","21244.00"
"09/05/2024 04:45 - 09/05/2024 05:00","Spain (ES)","21504.00","21331.00"
"09/05/2024 05:00 - 09/05/2024 05:15","Spain (ES)","21416.00","21253.00"
"09/05/2024 05:15 - 09/05/2024 05:30","Spain (ES)","21660.00","21553.00"
"09/05/2024 05:30 - 09/05/2024 05:45","Spain (ES)","21836.00","22004.00"
"09/05/2024 05:45 - 09/05/2024 06:00","Spain (ES)","22052.00","22576.00"
"09/05/2024 06:00 - 09/05/2024 06:15","Spain (ES)","22360.00","23222.00"
"09/05/2024 06:15 - 09/05/2024 06:30","Spain (ES)","23620.00","23910.00"
"09/05/2024 06:30 - 09/05/2024 06:45","Spain (ES)","24280.00","24593.00"
"09/05/2024 06:45 - 09/05/2024 07:00","Spain (ES)","24608.00","25241.00"
"09/05/2024 07:00 - 09/05/2024 07:15","Spain (ES)","25208.00","26049.00"
"09/05/2024 07:15 - 09/05/2024 07:30","Spain (ES)","26260.00","26546.00"
"09/05/2024 07:30 - 09/05/2024 07:45","Spain (ES)","26824.00","26929.00"
"09/05/2024 07:45 - 09/05/2024 08:00","Spain (ES)","27228.00","27209.00"
"09/05/2024 08:00 - 09/05/2024 08:15","Spain (ES)","27400.00","27536.00"
"09/05/2024 08:15 - 09/05/2024 08:30","Spain (ES)","27712.00","27658.00"
"09/05/2024 08:30 - 09/05/2024 08:45","Spain (ES)","28128.00","27724.00"
"09/05/2024 08:45 - 09/05/2024 09:00","Spain (ES)","28140.00","27742.00"
"09/05/2024 09:00 - 09/05/2024 09:15","Spain (ES)","27868.00","27788.00"
"09/05/2024 09:15 - 09/05/2024 09:30","Spain (ES)","27856.00","27722.00"
"09/05/2024 09:30 - 09/05/2024 09:45","Spain (ES)","27812.00","27622.00"
"09/05/2024 09:45 - 09/05/2024 10:00","Spain (ES)","27708.00","27494.00"
"09/05/2024 10:00 - 09/05/2024 10:15","Spain (ES)","27572.00","27366.00"
"09/05/2024 10:15 - 09/05/2024 10:30","Spain (ES)","27468.00","27203.00"
"09/05/2024 10:30 - 09/05/2024 10:45","Spain (ES)","27284.00","27034.00"
"09/05/2024 10:45 - 09/05/2024 11:00","Spain (ES)","27224.00","26873.00"
"09/05/2024 11:00 - 09/05/2024 11:15","Spain (ES)","26912.00","26653.00"
"09/05/2024 11:15 - 09/05/2024 11:30","Spain (ES)","26700.00","26556.00"
"09/05/2024 11:30 - 09/05/2024 11:45","Spain (ES)","26668.00","26509.00"
"09/05/2024 11:45 - 09/05/2024 12:00","Spain (ES)","26632.00","26507.00"
"09/05/2024 12:00 - 09/05/2024 12:15","Spain (ES)","26584.00","26501.00"
"09/05/2024 12:15 - 09/05/2024 12:30","Spain (ES)","26424.00","26562.00"
"09/05/2024 12:30 - 09/05/2024 12:45","Spain (ES)","26524.00","26638.00"
"09/05/2024 12:45 - 09/05/2024 13:00","Spain (ES)","26716.00","26711.00"
"09/05/2024 13:00 - 09/05/2024 13:15","Spain (ES)","26928.00","26852.00"
"09/05/2024 13:15 - 09/05/2024 13:30","Spain (ES)","26776.00","26860.00"
"09/05/2024 13:30 - 09/05/2024 13:45","Spain (ES)","26908.00","26812.00"
"09/05/2024 13:45 - 09/05/2024 14:00","Spain (ES)","26796.00","26719.00"
"09/05/2024 14:00 - 09/05/2024 14:15","Spain (ES)","26644.00","26612.00"
"09/05/2024 14:15 - 09/05/2024 14:30","Spain (ES)","26384.00","26478.00"
"09/05/2024 14:30 - 09/05/2024 14:45","Spain (ES)","26588.00","26347.00"
"09/05/2024 14:45 - 09/05/2024 15:00","Spain (ES)","26372.00","26224.00"
"09/05/2024 15:00 - 09/05/2024 15:15","Spain (ES)","26164.00","26078.00"
"09/05/2024 15:15 - 09/05/2024 15:30","Spain (ES)","25976.00","25983.00"
"09/05/2024 15:30 - 09/05/2024 15:45","Spain (ES)","25804.00","25906.00"
"09/05/2024 15:45 - 09/05/2024 16:00","Spain (ES)","25792.00","25855.00"
"09/05/2024 16:00 - 09/05/2024 16:15","Spain (ES)","25828.00","25761.00"
"09/05/2024 16:15 - 09/05/2024 16:30","Spain (ES)","25752.00","25781.00"
"09/05/2024 16:30 - 09/05/2024 16:45","Spain (ES)","25724.00","25843.00"
"09/05/2024 16:45 - 09/05/2024 17:00","Spain (ES)","25584.00","25934.00"
"09/05/2024 17:00 - 09/05/2024 17:15","Spain (ES)","25712.00","26054.00"
"09/05/2024 17:15 - 09/05/2024 17:30","Spain (ES)","25944.00","26148.00"
"09/05/2024 17:30 - 09/05/2024 17:45","Spain (ES)","25760.00","26223.00"
"09/05/2024 17:45 - 09/05/2024 18:00","Spain (ES)","26008.00","26291.00"
"09/05/2024 18:00 - 09/05/2024 18:15","Spain (ES)","26188.00","26305.00"
"09/05/2024 18:15 - 09/05/2024 18:30","Spain (ES)","26252.00","26414.00"
"09/05/2024 18:30 - 09/05/2024 18:45","Spain (ES)","26352.00","26567.00"
"09/05/2024 18:45 - 09/05/2024 19:00","Spain (ES)","26456.00","26762.00"
"09/05/2024 19:00 - 09/05/2024 19:15","Spain (ES)","26796.00","26938.00"
"09/05/2024 19:15 - 09/05/2024 19:30","Spain (ES)","27128.00","27199.00"
"09/05/2024 19:30 - 09/05/2024 19:45","Spain (ES)","27328.00","27486.00"
"09/05/2024 19:45 - 09/05/2024 20:00","Spain (ES)","27708.00","27804.00"
"09/05/2024 20:00 - 09/05/2024 20:15","Spain (ES)","27952.00","28113.00"
"09/05/2024 20:15 - 09/05/2024 20:30","Spain (ES)","28348.00","28504.00"
"09/05/2024 20:30 - 09/05/2024 20:45","Spain (ES)","28580.00","28925.00"
"09/05/2024 20:45 - 09/05/2024 21:00","Spain (ES)","28808.00","29307.00"
"09/05/2024 21:00 - 09/05/2024 21:15","Spain (ES)","29196.00","30014.00"
"09/05/2024 21:15 - 09/05/2024 21:30","Spain (ES)","29616.00","30065.00"
"09/05/2024 21:30 - 09/05/2024 21:45","Spain (ES)","29976.00","29846.00"
"09/05/2024 21:45 - 09/05/2024 22:00","Spain (ES)","29952.00","29400.00"
"09/05/2024 22:00 - 09/05/2024 22:15","Spain (ES)","29492.00","28939.00"
"09/05/2024 22:15 - 09/05/2024 22:30","Spain (ES)","28864.00","28251.00"
"09/05/2024 22:30 - 09/05/2024 22:45","Spain (ES)","28172.00","27543.00"
"09/05/2024 22:45 - 09/05/2024 23:00","Spain (ES)","27616.00","26852.00"
"09/05/2024 23:00 - 09/05/2024 23:15","Spain (ES)","26896.00","26066.00"
"09/05/2024 23:15 - 09/05/2024 23:30","Spain (ES)","26444.00","25510.00"
"09/05/2024 23:30 - 09/05/2024 23:45","Spain (ES)","25768.00","25057.00"
"09/05/2024 23:45 - 10/05/2024 00:00","Spain (ES)","25156.00","24689.00"
"10/05/2024 00:00 - 10/05/2024 00:15","Spain (ES)","24584.00","24798.00"
"10/05/2024 00:15 - 10/05/2024 00:30","Spain (ES)","24508.00","24473.00"
"10/05/2024 00:30 - 10/05/2024 00:45","Spain (ES)","24384.00","24137.00"
"10/05/2024 00:45 - 10/05/2024 01:00","Spain (ES)","24004.00","23799.00"
"10/05/2024 01:00 - 10/05/2024 01:15","Spain (ES)","23576.00","23442.00"
"10/05/2024 01:15 - 10/05/2024 01:30","Spain (ES)","23268.00","23122.00"
"10/05/2024 01:30 - 10/05/2024 01:45","Spain (ES)","23036.00","22822.00"
"10/05/2024 01:45 - 10/05/2024 02:00","Spain (ES)","22744.00","22550.00"
"10/05/2024 02:00 - 10/05/2024 02:15","Spain (ES)","22388.00","22235.00"
"10/05/2024 02:15 - 10/05/2024 02:30","Spain (ES)","22120.00","22035.00"
"10/05/2024 02:30 - 10/05/2024 02:45","Spain (ES)","21960.00","21878.00"
"10/05/2024 02:45 - 10/05/2024 03:00","Spain (ES)","21900.00","21760.00"
"10/05/2024 03:00 - 10/05/2024 03:15","Spain (ES)","21772.00","21628.00"
"10/05/2024 03:15 - 10/05/2024 03:30","Spain (ES)","21700.00","21569.00"
"10/05/2024 03:30 - 10/05/2024 03:45","Spain (ES)","21528.00","21529.00"
"10/05/2024 03:45 - 10/05/2024 04:00","Spain (ES)","21468.00","21506.00"
"10/05/2024 04:00 - 10/05/2024 04:15","Spain (ES)","21432.00","21464.00"
"10/05/2024 04:15 - 10/05/2024 04:30","Spain (ES)","21528.00","21461.00"
"10/05/2024 04:30 - 10/05/2024 04:45","Spain (ES)","21468.00","21470.00"
"10/05/2024 04:45 - 10/05/2024 05:00","Spain (ES)","21344.00","21526.00"
"10/05/2024 05:00 - 10/05/2024 05:15","Spain (ES)","21364.00","21406.00"
"10/05/2024 05:15 - 10/05/2024 05:30","Spain (ES)","21668.00","21685.00"
"10/05/2024 05:30 - 10/05/2024 05:45","Spain (ES)","21728.00","22125.00"
"10/05/2024 05:45 - 10/05/2024 06:00","Spain (ES)","21908.00","22692.00"
"10/05/2024 06:00 - 10/05/2024 06:15","Spain (ES)","22224.00","23342.00"
"10/05/2024 06:15 - 10/05/2024 06:30","Spain (ES)","23168.00","24021.00"
"10/05/2024 06:30 - 10/05/2024 06:45","Spain (ES)","23692.00","24688.00"
"10/05/2024 06:45 - 10/05/2024 07:00","Spain (ES)","24380.00","25315.00"
"10/05/2024 07:00 - 10/05/2024 07:15","Spain (ES)","24820.00","26088.00"
"10/05/2024 07:15 - 10/05/2024 07:30","Spain (ES)","25672.00","26570.00"
"10/05/2024 07:30 - 10/05/2024 07:45","Spain (ES)","26120.00","26949.00"
"10/05/2024 07:45 - 10/05/2024 08:00","Spain (ES)","26724.00","27232.00"
"10/05/2024 08:00 - 10/05/2024 08:15","Spain (ES)","26752.00","27561.00"
"10/05/2024 08:15 - 10/05/2024 08:30","Spain (ES)","27180.00","27697.00"
"10/05/2024 08:30 - 10/05/2024 08:45","Spain (ES)","27432.00","27779.00"
"10/05/2024 08:45 - 10/05/2024 09:00","Spain (ES)","27688.00","27815.00"
"10/05/2024 09:00 - 10/05/2024 09:15","Spain (ES)","27512.00","27870.00"
"10/05/2024 09:15 - 10/05/2024 09:30","Spain (ES)","27384.00","27837.00"
"10/05/2024 09:30 - 10/05/2024 09:45","Spain (ES)","27628.00","27780.00"
"10/05/2024 09:45 - 10/05/2024 10:00","Spain (ES)","27560.00","27701.00"
"10/05/2024 10:00 - 10/05/2024 10:15","Spain (ES)","27336.00","27634.00"
"10/05/2024 10:15 - 10/05/2024 10:30","Spain (ES)","27056.00","27514.00"
"10/05/2024 10:30 - 10/05/2024 10:45","Spain (ES)","27016.00","27379.00"
"10/05/2024 10:45 - 10/05/2024 11:00","Spain (ES)","26872.00","27241.00"
"10/05/2024 11:00 - 10/05/2024 11:15","Spain (ES)","26780.00","27056.00"
"10/05/2024 11:15 - 10/05/2024 11:30","Spain (ES)","26684.00","26958.00"
"10/05/2024 11:30 - 10/05/2024 11:45","Spain (ES)","26716.00","26900.00"
"10/05/2024 11:45 - 10/05/2024 12:00","Spain (ES)","26632.00","26877.00"
"10/05/2024 12:00 - 10/05/2024 12:15","Spain (ES)","26480.00","26853.00"
"10/05/2024 12:15 - 10/05/2024 12:30","Spain (ES)","26312.00","26878.00"
"10/05/2024 12:30 - 10/05/2024 12:45","Spain (ES)","26232.00","26914.00"
"10/05/2024 12:45 - 10/05/2024 13:00","Spain (ES)","26288.00","26944.00"
"10/05/2024 13:00 - 10/05/2024 13:15","Spain (ES)","26272.00","27045.00"
"10/05/2024 13:15 - 10/05/2024 13:30","Spain (ES)","26100.00","27003.00"
"10/05/2024 13:30 - 10/05/2024 13:45","Spain (ES)","26144.00","26902.00"
"10/05/2024 13:45 - 10/05/2024 14:00","Spain (ES)","25880.00","26750.00"
"10/05/2024 14:00 - 10/05/2024 14:15","Spain (ES)","25716.00","26593.00"
"10/05/2024 14:15 - 10/05/2024 14:30","Spain (ES)","25604.00","26385.00"
"10/05/2024 14:30 - 10/05/2024 14:45","Spain (ES)","25564.00","26171.00"
"10/05/2024 14:45 - 10/05/2024 15:00","Spain (ES)","25464.00","25964.00"
"10/05/2024 15:00 - 10/05/2024 15:15","Spain (ES)","25236.00","25709.00"
"10/05/2024 15:15 - 10/05/2024 15:30","Spain (ES)","25004.00","25555.00"
"10/05/2024 15:30 - 10/05/2024 15:45","Spain (ES)","24900.00","25442.00"
"10/05/2024 15:45 - 10/05/2024 16:00","Spain (ES)","24772.00","25372.00"
"10/05/2024 16:00 - 10/05/2024 16:15","Spain (ES)","24748.00","25273.00"
"10/05/2024 16:15 - 10/05/2024 16:30","Spain (ES)","24852.00","25275.00"
"10/05/2024 16:30 - 10/05/2024 16:45","Spain (ES)","24968.00","25309.00"
"10/05/2024 16:45 - 10/05/2024 17:00","Spain (ES)","24928.00","25369.00"
"10/05/2024 17:00 - 10/05/2024 17:15","Spain (ES)","25032.00","25417.00"
"10/05/2024 17:15 - 10/05/2024 17:30","Spain (ES)","25160.00","25519.00"
"10/05/2024 17:30 - 10/05/2024 17:45","Spain (ES)","25416.00","25639.00"
"10/05/2024 17:45 - 10/05/2024 18:00","Spain (ES)","25596.00","25777.00"
"10/05/2024 18:00 - 10/05/2024 18:15","Spain (ES)","25800.00","25892.00"
"10/05/2024 18:15 - 10/05/2024 18:30","Spain (ES)","25928.00","26081.00"
"10/05/2024 18:30 - 10/05/2024 18:45","Spain (ES)","25992.00","26297.00"
"10/05/2024 18:45 - 10/05/2024 19:00","Spain (ES)","26236.00","26525.00"
"10/05/2024 19:00 - 10/05/2024 19:15","Spain (ES)","26304.00","26801.00"
"10/05/2024 19:15 - 10/05/2024 19:30","Spain (ES)","26608.00","26992.00"
"10/05/2024 19:30 - 10/05/2024 19:45","Spain (ES)","26760.00","27144.00"
"10/05/2024 19:45 - 10/05/2024 20:00","Spain (ES)","26924.00","27288.00"
"10/05/2024 20:00 - 10/05/2024 20:15","Spain (ES)","27116.00","27337.00"
"10/05/2024 20:15 - 10/05/2024 20:30","Spain (ES)","27360.00","27582.00"
"10/05/2024 20:30 - 10/05/2024 20:45","Spain (ES)","27684.00","27915.00"
"10/05/2024 20:45 - 10/05/2024 21:00","Spain (ES)","27676.00","28265.00"
"10/05/2024 21:00 - 10/05/2024 21:15","Spain (ES)","27828.00","28918.00"
"10/05/2024 21:15 - 10/05/2024 21:30","Spain (ES)","28080.00","29020.00"
"10/05/2024 21:30 - 10/05/2024 21:45","Spain (ES)","28540.00","28880.00"
"10/05/2024 21:45 - 10/05/2024 22:00","Spain (ES)","28676.00","28537.00"
"10/05/2024 22:00 - 10/05/2024 22:15","Spain (ES)","28336.00","28169.00"
"10/05/2024 22:15 - 10/05/2024 22:30","Spain (ES)","27800.00","27610.00"
"10/05/2024 22:30 - 10/05/2024 22:45","Spain (ES)","27208.00","27037.00"
"10/05/2024 22:45 - 10/05/2024 23:00","Spain (ES)","26700.00","26486.00"
"10/05/2024 23:00 - 10/05/2024 23:15","Spain (ES)","26124.00","25835.00"
"10/05/2024 23:15 - 10/05/2024 23:30","Spain (ES)","25592.00","25423.00"
"10/05/2024 23:30 - 10/05/2024 23:45","Spain (ES)","25040.00","25113.00"
"10/05/2024 23:45 - 11/05/2024 00:00","Spain (ES)","24480.00","24868.00"
"11/05/2024 00:00 - 11/05/2024 00:15","Spain (ES)","24112.00","24503.00"
"11/05/2024 00:15 - 11/05/2024 00:30","Spain (ES)","24056.00","24171.00"
"11/05/2024 00:30 - 11/05/2024 00:45","Spain (ES)","23888.00","23824.00"
"11/05/2024 00:45 - 11/05/2024 01:00","Spain (ES)","23452.00","23468.00"
"11/05/2024 01:00 - 11/05/2024 01:15","Spain (ES)","23180.00","23099.00"
"11/05/2024 01:15 - 11/05/2024 01:30","Spain (ES)","22860.00","22752.00"
"11/05/2024 01:30 - 11/05/2024 01:45","Spain (ES)","22416.00","22422.00"
"11/05/2024 01:45 - 11/05/2024 02:00","Spain (ES)","22172.00","22115.00"
"11/05/2024 02:00 - 11/05/2024 02:15","Spain (ES)","21840.00","21770.00"
"11/05/2024 02:15 - 11/05/2024 02:30","Spain (ES)","21560.00","21530.00"
"11/05/2024 02:30 - 11/05/2024 02:45","Spain (ES)","21376.00","21331.00"
"11/05/2024 02:45 - 11/05/2024 03:00","Spain (ES)","21016.00","21169.00"
"11/05/2024 03:00 - 11/05/2024 03:15","Spain (ES)","20872.00","20998.00"
"11/05/2024 03:15 - 11/05/2024 03:30","Spain (ES)","20748.00","20891.00"
"11/05/2024 03:30 - 11/05/2024 03:45","Spain (ES)","20592.00","20801.00"
"11/05/2024 03:45 - 11/05/2024 04:00","Spain (ES)","20632.00","20722.00"
"11/05/2024 04:00 - 11/05/2024 04:15","Spain (ES)","20472.00","20652.00"
"11/05/2024 04:15 - 11/05/2024 04:30","Spain (ES)","20248.00","20570.00"
"11/05/2024 04:30 - 11/05/2024 04:45","Spain (ES)","20360.00","20482.00"
"11/05/2024 04:45 - 11/05/2024 05:00","Spain (ES)","20320.00","20402.00"
"11/05/2024 05:00 - 11/05/2024 05:15","Spain (ES)","20144.00","20250.00"
"11/05/2024 05:15 - 11/05/2024 05:30","Spain (ES)","20164.00","20250.00"
"11/05/2024 05:30 - 11/05/2024 05:45","Spain (ES)","20140.00","20312.00"
"11/05/2024 05:45 - 11/05/2024 06:00","Spain (ES)","20048.00","20418.00"
"11/05/2024 06:00 - 11/05/2024 06:15","Spain (ES)","19980.00","20569.00"
"11/05/2024 06:15 - 11/05/2024 06:30","Spain (ES)","20352.00","20679.00"
"11/05/2024 06:30 - 11/05/2024 06:45","Spain (ES)","20412.00","20758.00"
"11/05/2024 06:45 - 11/05/2024 07:00","Spain (ES)","20492.00","20824.00"
"11/05/2024 07:00 - 11/05/2024 07:15","Spain (ES)","20676.00","20813.00"
"11/05/2024 07:15 - 11/05/2024 07:30","Spain (ES)","20876.00","20937.00"
"11/05/2024 07:30 - 11/05/2024 07:45","Spain (ES)","20832.00","21124.00"
"11/05/2024 07:45 - 11/05/2024 08:00","Spain (ES)","20972.00","21367.00"
"11/05/2024 08:00 - 11/05/2024 08:15","Spain (ES)","21204.00","21616.00"
"11/05/2024 08:15 - 11/05/2024 08:30","Spain (ES)","21668.00","21928.00"
"11/05/2024 08:30 - 11/05/2024 08:45","Spain (ES)","22008.00","22253.00"
"11/05/2024 08:45 - 11/05/2024 09:00","Spain (ES)","22236.00","22575.00"
"11/05/2024 09:00 - 11/05/2024 09:15","Spain (ES)","22492.00","22971.00"
"11/05/2024 09:15 - 11/05/2024 09:30","Spain (ES)","22980.00","23236.00"
"11/05/2024 09:30 - 11/05/2024 09:45","Spain (ES)","23228.00","23450.00"
"11/05/2024 09:45 - 11/05/2024 10:00","Spain (ES)","23248.00","23605.00"
"11/05/2024 10:00 - 11/05/2024 10:15","Spain (ES)","23668.00","23825.00"
"11/05/2024 10:15 - 11/05/2024 10:30","Spain (ES)","23764.00","23853.00"
"11/05/2024 10:30 - 11/05/2024 10:45","Spain (ES)","23760.00","23814.00"
"11/05/2024 10:45 - 11/05/2024 11:00","Spain (ES)","23704.00","23730.00"
"11/05/2024 11:00 - 11/05/2024 11:15","Spain (ES)","23592.00","23606.00"
"11/05/2024 11:15 - 11/05/2024 11:30","Spain (ES)","23412.00","23501.00"
"11/05/2024 11:30 - 11/05/2024 11:45","Spain (ES)","23352.00","23418.00"
"11/05/2024 11:45 - 11/05/2024 12:00","Spain (ES)","23356.00","23362.00"
"11/05/2024 12:00 - 11/05/2024 12:15","Spain (ES)","23208.00","23282.00"
"11/05/2024 12:15 - 11/05/2024 12:30","Spain (ES)","23024.00","23283.00"
"11/05/2024 12:30 - 11/05/2024 12:45","Spain (ES)","22800.00","23310.00"
"11/05/2024 12:45 - 11/05/2024 13:00","Spain (ES)","22560.00","23347.00"
"11/05/2024 13:00 - 11/05/2024 13:15","Spain (ES)","22524.00","23448.00"
"11/05/2024 13:15 - 11/05/2024 13:30","Spain (ES)","22636.00","23442.00"
"11/05/2024 13:30 - 11/05/2024 13:45","Spain (ES)","22692.00","23389.00"
"11/05/2024 13:45 - 11/05/2024 14:00","Spain (ES)","22872.00","23285.00"
"11/05/2024 14:00 - 11/05/2024 14:15","Spain (ES)","22784.00","23216.00"
"11/05/2024 14:15 - 11/05/2024 14:30","Spain (ES)","22528.00","23021.00"
"11/05/2024 14:30 - 11/05/2024 14:45","Spain (ES)","22272.00","22786.00"
"11/05/2024 14:45 - 11/05/2024 15:00","Spain (ES)","21900.00","22535.00"
"11/05/2024 15:00 - 11/05/2024 15:15","Spain (ES)","21608.00","22217.00"
"11/05/2024 15:15 - 11/05/2024 15:30","Spain (ES)","21444.00","22007.00"
"11/05/2024 15:30 - 11/05/2024 15:45","Spain (ES)","21172.00","21849.00"
"11/05/2024 15:45 - 11/05/2024 16:00","Spain (ES)","20856.00","21744.00"
"11/05/2024 16:00 - 11/05/2024 16:15","Spain (ES)","20788.00","21603.00"
"11/05/2024 16:15 - 11/05/2024 16:30","Spain (ES)","20760.00","21589.00"
"11/05/2024 16:30 - 11/05/2024 16:45","Spain (ES)","20448.00","21616.00"
"11/05/2024 16:45 - 11/05/2024 17:00","Spain (ES)","20576.00","21682.00"
"11/05/2024 17:00 - 11/05/2024 17:15","Spain (ES)","20576.00","21710.00"
"11/05/2024 17:15 - 11/05/2024 17:30","Spain (ES)","21508.00","21862.00"
"11/05/2024 17:30 - 11/05/2024 17:45","Spain (ES)","21852.00","22056.00"
"11/05/2024 17:45 - 11/05/2024 18:00","Spain (ES)","21896.00","22275.00"
"11/05/2024 18:00 - 11/05/2024 18:15","Spain (ES)","21988.00","22538.00"
"11/05/2024 18:15 - 11/05/2024 18:30","Spain (ES)","22380.00","22750.00"
"11/05/2024 18:30 - 11/05/2024 18:45","Spain (ES)","22688.00","22935.00"
"11/05/2024 18:45 - 11/05/2024 19:00","Spain (ES)","22696.00","23101.00"
"11/05/2024 19:00 - 11/05/2024 19:15","Spain (ES)","23064.00","23232.00"
"11/05/2024 19:15 - 11/05/2024 19:30","Spain (ES)","23440.00","23402.00"
"11/05/2024 19:30 - 11/05/2024 19:45","Spain (ES)","23676.00","23596.00"
"11/05/2024 19:45 - 11/05/2024 20:00","Spain (ES)","23820.00","23827.00"
"11/05/2024 20:00 - 11/05/2024 20:15","Spain (ES)","24044.00","24004.00"
"11/05/2024 20:15 - 11/05/2024 20:30","Spain (ES)","24388.00","24354.00"
"11/05/2024 20:30 - 11/05/2024 20:45","Spain (ES)","24284.00","24772.00"
"11/05/2024 20:45 - 11/05/2024 21:00","Spain (ES)","24624.00","25197.00"
"11/05/2024 21:00 - 11/05/2024 21:15","Spain (ES)","24940.00","25879.00"
"11/05/2024 21:15 - 11/05/2024 21:30","Spain (ES)","25476.00","26094.00"
"11/05/2024 21:30 - 11/05/2024 21:45","Spain (ES)","25860.00","26106.00"
"11/05/2024 21:45 - 11/05/2024 22:00","Spain (ES)","26224.00","25940.00"
"11/05/2024 22:00 - 11/05/2024 22:15","Spain (ES)","26096.00","25796.00"
"11/05/2024 22:15 - 11/05/2024 22:30","Spain (ES)","25548.00","25399.00"
"11/05/2024 22:30 - 11/05/2024 22:45","Spain (ES)","25144.00","24951.00"
"11/05/2024 22:45 - 11/05/2024 23:00","Spain (ES)","24836.00","24484.00"
"11/05/2024 23:00 - 11/05/2024 23:15","Spain (ES)","24452.00","23948.00"
"11/05/2024 23:15 - 11/05/2024 23:30","Spain (ES)","23856.00","23539.00"
"11/05/2024 23:30 - 11/05/2024 23:45","Spain (ES)","23360.00","23194.00"
"11/05/2024 23:45 - 12/05/2024 00:00","Spain (ES)","22932.00","22895.00"
"12/05/2024 00:00 - 12/05/2024 00:15","Spain (ES)","22512.00","22445.00"
"12/05/2024 00:15 - 12/05/2024 00:30","Spain (ES)","22196.00","22103.00"
"12/05/2024 00:30 - 12/05/2024 00:45","Spain (ES)","21996.00","21762.00"
"12/05/2024 00:45 - 12/05/2024 01:00","Spain (ES)","21548.00","21425.00"
"12/05/2024 01:00 - 12/05/2024 01:15","Spain (ES)","21124.00","21078.00"
"12/05/2024 01:15 - 12/05/2024 01:30","Spain (ES)","20900.00","20763.00"
"12/05/2024 01:30 - 12/05/2024 01:45","Spain (ES)","20560.00","20465.00"
"12/05/2024 01:45 - 12/05/2024 02:00","Spain (ES)","20256.00","20188.00"
"12/05/2024 02:00 - 12/05/2024 02:15","Spain (ES)","20028.00","19880.00"
"12/05/2024 02:15 - 12/05/2024 02:30","Spain (ES)","19756.00","19663.00"
"12/05/2024 02:30 - 12/05/2024 02:45","Spain (ES)","19500.00","19481.00"
"12/05/2024 02:45 - 12/05/2024 03:00","Spain (ES)","19356.00","19331.00"
"12/05/2024 03:00 - 12/05/2024 03:15","Spain (ES)","19240.00","19173.00"
"12/05/2024 03:15 - 12/05/2024 03:30","Spain (ES)","19240.00","19069.00"
"12/05/2024 03:30 - 12/05/2024 03:45","Spain (ES)","18996.00","18979.00"
"12/05/2024 03:45 - 12/05/2024 04:00","Spain (ES)","18944.00","18902.00"
"12/05/2024 04:00 - 12/05/2024 04:15","Spain (ES)","18752.00","18817.00"
"12/05/2024 04:15 - 12/05/2024 04:30","Spain (ES)","18792.00","18757.00"
"12/05/2024 04:30 - 12/05/2024 04:45","Spain (ES)","18736.00","18704.00"
"12/05/2024 04:45 - 12/05/2024 05:00","Spain (ES)","18672.00","18665.00"
"12/05/2024 05:00 - 12/05/2024 05:15","Spain (ES)","18732.00","18590.00"
"12/05/2024 05:15 - 12/05/2024 05:30","Spain (ES)","18680.00","18605.00"
"12/05/2024 05:30 - 12/05/2024 05:45","Spain (ES)","18548.00","18654.00"
"12/05/2024 05:45 - 12/05/2024 06:00","Spain (ES)","18640.00","18722.00"
"12/05/2024 06:00 - 12/05/2024 06:15","Spain (ES)","18616.00","18839.00"
"12/05/2024 06:15 - 12/05/2024 06:30","Spain (ES)","18764.00","18877.00"
"12/05/2024 06:30 - 12/05/2024 06:45","Spain (ES)","18812.00","18875.00"
"12/05/2024 06:45 - 12/05/2024 07:00","Spain (ES)","18832.00","18853.00"
"12/05/2024 07:00 - 12/05/2024 07:15","Spain (ES)","18772.00","18760.00"
"12/05/2024 07:15 - 12/05/2024 07:30","Spain (ES)","18744.00","18775.00"
"12/05/2024 07:30 - 12/05/2024 07:45","Spain (ES)","18752.00","18842.00"
"12/05/2024 07:45 - 12/05/2024 08:00","Spain (ES)","18728.00","18962.00"
"12/05/2024 08:00 - 12/05/2024 08:15","Spain (ES)","18880.00","19057.00"
"12/05/2024 08:15 - 12/05/2024 08:30","Spain (ES)","18896.00","19264.00"
"12/05/2024 08:30 - 12/05/2024 08:45","Spain (ES)","19088.00","19506.00"
"12/05/2024 08:45 - 12/05/2024 09:00","Spain (ES)","19292.00","19767.00"
"12/05/2024 09:00 - 12/05/2024 09:15","Spain (ES)","19612.00","20076.00"
"12/05/2024 09:15 - 12/05/2024 09:30","Spain (ES)","19796.00","20328.00"
"12/05/2024 09:30 - 12/05/2024 09:45","Spain (ES)","20032.00","20553.00"
"12/05/2024 09:45 - 12/05/2024 10:00","Spain (ES)","20404.00","20744.00"
"12/05/2024 10:00 - 12/05/2024 10:15","Spain (ES)","20664.00","20985.00"
"12/05/2024 10:15 - 12/05/2024 10:30","Spain (ES)","20812.00","21094.00"
"12/05/2024 10:30 - 12/05/2024 10:45","Spain (ES)","20800.00","21157.00"
"12/05/2024 10:45 - 12/05/2024 11:00","Spain (ES)","20880.00","21182.00"
"12/05/2024 11:00 - 12/05/2024 11:15","Spain (ES)","20972.00","21204.00"
"12/05/2024 11:15 - 12/05/2024 11:30","Spain (ES)","20888.00","21185.00"
