Time_Interval,Country_Area,Total_Generation
01/02/2024 04:45:00 - 01/02/2024 05:00:00,Spain (ES),22672
01/02/2024 05:00:00 - 01/02/2024 05:15:00,Spain (ES),22756
01/02/2024 05:15:00 - 01/02/2024 05:30:00,Spain (ES),23464
01/02/2024 05:30:00 - 01/02/2024 05:45:00,Spain (ES),23708
01/02/2024 05:45:00 - 01/02/2024 06:00:00,Spain (ES),24040
01/02/2024 06:00:00 - 01/02/2024 06:15:00,Spain (ES),24180
01/02/2024 06:15:00 - 01/02/2024 06:30:00,Spain (ES),24904
01/02/2024 06:30:00 - 01/02/2024 06:45:00,Spain (ES),26136
01/02/2024 06:45:00 - 01/02/2024 07:00:00,Spain (ES),26616
01/02/2024 07:00:00 - 01/02/2024 07:15:00,Spain (ES),27140
01/02/2024 07:15:00 - 01/02/2024 07:30:00,Spain (ES),26628
01/02/2024 07:30:00 - 01/02/2024 07:45:00,Spain (ES),27332
01/02/2024 07:45:00 - 01/02/2024 08:00:00,Spain (ES),28256
01/02/2024 08:00:00 - 01/02/2024 08:15:00,Spain (ES),28952
01/02/2024 08:15:00 - 01/02/2024 08:30:00,Spain (ES),29152
01/02/2024 08:30:00 - 01/02/2024 08:45:00,Spain (ES),29464
01/02/2024 08:45:00 - 01/02/2024 09:00:00,Spain (ES),29608
01/02/2024 09:00:00 - 01/02/2024 09:15:00,Spain (ES),30076
01/02/2024 09:15:00 - 01/02/2024 09:30:00,Spain (ES),32320
01/02/2024 09:30:00 - 01/02/2024 09:45:00,Spain (ES),33044
01/02/2024 09:45:00 - 01/02/2024 10:00:00,Spain (ES),32980
01/02/2024 10:00:00 - 01/02/2024 10:15:00,Spain (ES),33376
01/02/2024 10:15:00 - 01/02/2024 10:30:00,Spain (ES),35924
01/02/2024 10:30:00 - 01/02/2024 10:45:00,Spain (ES),36448
01/02/2024 10:45:00 - 01/02/2024 11:00:00,Spain (ES),36608
01/02/2024 11:00:00 - 01/02/2024 11:15:00,Spain (ES),36764
01/02/2024 11:15:00 - 01/02/2024 11:30:00,Spain (ES),36780
01/02/2024 11:30:00 - 01/02/2024 11:45:00,Spain (ES),36848
01/02/2024 11:45:00 - 01/02/2024 12:00:00,Spain (ES),36772
01/02/2024 12:00:00 - 01/02/2024 12:15:00,Spain (ES),36596
01/02/2024 12:15:00 - 01/02/2024 12:30:00,Spain (ES),37560
01/02/2024 12:30:00 - 01/02/2024 12:45:00,Spain (ES),38012
01/02/2024 12:45:00 - 01/02/2024 13:00:00,Spain (ES),37952
01/02/2024 13:00:00 - 01/02/2024 13:15:00,Spain (ES),37764
01/02/2024 13:15:00 - 01/02/2024 13:30:00,Spain (ES),37712
01/02/2024 13:30:00 - 01/02/2024 13:45:00,Spain (ES),37676
01/02/2024 13:45:00 - 01/02/2024 14:00:00,Spain (ES),37596
01/02/2024 14:00:00 - 01/02/2024 14:15:00,Spain (ES),37264
01/02/2024 14:15:00 - 01/02/2024 14:30:00,Spain (ES),37328
01/02/2024 14:30:00 - 01/02/2024 14:45:00,Spain (ES),37480
01/02/2024 14:45:00 - 01/02/2024 15:00:00,Spain (ES),37600
01/02/2024 15:00:00 - 01/02/2024 15:15:00,Spain (ES),37452
01/02/2024 15:15:00 - 01/02/2024 15:30:00,Spain (ES),37272
01/02/2024 15:30:00 - 01/02/2024 15:45:00,Spain (ES),37508
01/02/2024 15:45:00 - 01/02/2024 16:00:00,Spain (ES),37616
01/02/2024 16:00:00 - 01/02/2024 16:15:00,Spain (ES),37628
01/02/2024 16:15:00 - 01/02/2024 16:30:00,Spain (ES),37572
01/02/2024 16:30:00 - 01/02/2024 16:45:00,Spain (ES),37556
01/02/2024 16:45:00 - 01/02/2024 17:00:00,Spain (ES),37516
01/02/2024 17:00:00 - 01/02/2024 17:15:00,Spain (ES),37068
01/02/2024 17:15:00 - 01/02/2024 17:30:00,Spain (ES),34836
01/02/2024 17:30:00 - 01/02/2024 17:45:00,Spain (ES),34460
01/02/2024 17:45:00 - 01/02/2024 18:00:00,Spain (ES),34684
01/02/2024 18:00:00 - 01/02/2024 18:15:00,Spain (ES),34672
01/02/2024 18:15:00 - 01/02/2024 18:30:00,Spain (ES),31952
