"MTU","Out Area","In Area","Physical Flow (MW)"
"23/06/2024 16:00:00 - 23/06/2024 17:00:00","Portugal (PT)","Spain (ES)","0.00"
"23/06/2024 17:00:00 - 23/06/2024 18:00:00","Spain (ES)","France (FR)","2199.19"
"23/06/2024 17:00:00 - 23/06/2024 18:00:00","France (FR)","Spain (ES)","0.00"
"23/06/2024 17:00:00 - 23/06/2024 18:00:00","Spain (ES)","Portugal (PT)","2446.93"
"23/06/2024 17:00:00 - 23/06/2024 18:00:00","Portugal (PT)","Spain (ES)","0.00"
"23/06/2024 18:00:00 - 23/06/2024 19:00:00","Spain (ES)","France (FR)","2205.03"
"23/06/2024 18:00:00 - 23/06/2024 19:00:00","France (FR)","Spain (ES)","0.00"
"23/06/2024 18:00:00 - 23/06/2024 19:00:00","Spain (ES)","Portugal (PT)","2561.60"
"23/06/2024 18:00:00 - 23/06/2024 19:00:00","Portugal (PT)","Spain (ES)","0.00"
"23/06/2024 19:00:00 - 23/06/2024 20:00:00","Spain (ES)","France (FR)","2184.88"
"23/06/2024 19:00:00 - 23/06/2024 20:00:00","France (FR)","Spain (ES)","0.00"
"23/06/2024 19:00:00 - 23/06/2024 20:00:00","Spain (ES)","Portugal (PT)","2850.81"
"23/06/2024 19:00:00 - 23/06/2024 20:00:00","Portugal (PT)","Spain (ES)","0.00"
"23/06/2024 20:00:00 - 23/06/2024 21:00:00","Spain (ES)","France (FR)","2117.21"
"23/06/2024 20:00:00 - 23/06/2024 21:00:00","France (FR)","Spain (ES)","0.00"
"23/06/2024 20:00:00 - 23/06/2024 21:00:00","Spain (ES)","Portugal (PT)","2835.34"
"23/06/2024 20:00:00 - 23/06/2024 21:00:00","Portugal (PT)","Spain (ES)","0.00"
"23/06/2024 21:00:00 - 23/06/2024 22:00:00","Spain (ES)","France (FR)","790.93"
"23/06/2024 21:00:00 - 23/06/2024 22:00:00","France (FR)","Spain (ES)","0.00"
"23/06/2024 21:00:00 - 23/06/2024 22:00:00","Spain (ES)","Portugal (PT)","2389.47"
"23/06/2024 21:00:00 - 23/06/2024 22:00:00","Portugal (PT)","Spain (ES)","0.00"
"23/06/2024 22:00:00 - 23/06/2024 23:00:00","Spain (ES)","France (FR)","1149.92"
"23/06/2024 22:00:00 - 23/06/2024 23:00:00","France (FR)","Spain (ES)","0.00"
"23/06/2024 22:00:00 - 23/06/2024 23:00:00","Spain (ES)","Portugal (PT)","1790.53"
"23/06/2024 22:00:00 - 23/06/2024 23:00:00","Portugal (PT)","Spain (ES)","0.00"
"23/06/2024 23:00:00 - 24/06/2024 00:00:00","Spain (ES)","France (FR)","2074.74"
"23/06/2024 23:00:00 - 24/06/2024 00:00:00","France (FR)","Spain (ES)","0.00"
"23/06/2024 23:00:00 - 24/06/2024 00:00:00","Spain (ES)","Portugal (PT)","1568.75"
"23/06/2024 23:00:00 - 24/06/2024 00:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 00:00:00 - 24/06/2024 01:00:00","Spain (ES)","France (FR)","975.89"
"24/06/2024 00:00:00 - 24/06/2024 01:00:00","France (FR)","Spain (ES)","0.00"
"24/06/2024 00:00:00 - 24/06/2024 01:00:00","Spain (ES)","Portugal (PT)","2206.12"
"24/06/2024 00:00:00 - 24/06/2024 01:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 01:00:00 - 24/06/2024 02:00:00","Spain (ES)","France (FR)","1165.53"
"24/06/2024 01:00:00 - 24/06/2024 02:00:00","France (FR)","Spain (ES)","0.00"
"24/06/2024 01:00:00 - 24/06/2024 02:00:00","Spain (ES)","Portugal (PT)","2389.61"
"24/06/2024 01:00:00 - 24/06/2024 02:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 02:00:00 - 24/06/2024 03:00:00","Spain (ES)","France (FR)","1498.06"
"24/06/2024 02:00:00 - 24/06/2024 03:00:00","France (FR)","Spain (ES)","0.00"
"24/06/2024 02:00:00 - 24/06/2024 03:00:00","Spain (ES)","Portugal (PT)","2387.43"
"24/06/2024 02:00:00 - 24/06/2024 03:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 03:00:00 - 24/06/2024 04:00:00","Spain (ES)","France (FR)","501.05"
"24/06/2024 03:00:00 - 24/06/2024 04:00:00","France (FR)","Spain (ES)","0.00"
"24/06/2024 03:00:00 - 24/06/2024 04:00:00","Spain (ES)","Portugal (PT)","2449.79"
"24/06/2024 03:00:00 - 24/06/2024 04:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 04:00:00 - 24/06/2024 05:00:00","Spain (ES)","France (FR)","0.00"
"24/06/2024 04:00:00 - 24/06/2024 05:00:00","France (FR)","Spain (ES)","406.07"
"24/06/2024 04:00:00 - 24/06/2024 05:00:00","Spain (ES)","Portugal (PT)","2515.25"
"24/06/2024 04:00:00 - 24/06/2024 05:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 05:00:00 - 24/06/2024 06:00:00","Spain (ES)","France (FR)","205.21"
"24/06/2024 05:00:00 - 24/06/2024 06:00:00","France (FR)","Spain (ES)","0.00"
"24/06/2024 05:00:00 - 24/06/2024 06:00:00","Spain (ES)","Portugal (PT)","2127.88"
"24/06/2024 05:00:00 - 24/06/2024 06:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 06:00:00 - 24/06/2024 07:00:00","Spain (ES)","France (FR)","236.14"
"24/06/2024 06:00:00 - 24/06/2024 07:00:00","France (FR)","Spain (ES)","0.00"
"24/06/2024 06:00:00 - 24/06/2024 07:00:00","Spain (ES)","Portugal (PT)","1068.27"
"24/06/2024 06:00:00 - 24/06/2024 07:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 07:00:00 - 24/06/2024 08:00:00","Spain (ES)","France (FR)","39.13"
"24/06/2024 07:00:00 - 24/06/2024 08:00:00","France (FR)","Spain (ES)","0.00"
"24/06/2024 07:00:00 - 24/06/2024 08:00:00","Spain (ES)","Portugal (PT)","638.38"
"24/06/2024 07:00:00 - 24/06/2024 08:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 08:00:00 - 24/06/2024 09:00:00","Spain (ES)","France (FR)","1056.57"
"24/06/2024 08:00:00 - 24/06/2024 09:00:00","France (FR)","Spain (ES)","0.00"
"24/06/2024 08:00:00 - 24/06/2024 09:00:00","Spain (ES)","Portugal (PT)","1553.75"
"24/06/2024 08:00:00 - 24/06/2024 09:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 09:00:00 - 24/06/2024 10:00:00","Spain (ES)","France (FR)","1135.42"
"24/06/2024 09:00:00 - 24/06/2024 10:00:00","France (FR)","Spain (ES)","0.00"
"24/06/2024 09:00:00 - 24/06/2024 10:00:00","Spain (ES)","Portugal (PT)","3209.29"
"24/06/2024 09:00:00 - 24/06/2024 10:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 10:00:00 - 24/06/2024 11:00:00","Spain (ES)","France (FR)","1169.77"
"24/06/2024 10:00:00 - 24/06/2024 11:00:00","France (FR)","Spain (ES)","0.00"
"24/06/2024 10:00:00 - 24/06/2024 11:00:00","Spain (ES)","Portugal (PT)","3620.01"
"24/06/2024 10:00:00 - 24/06/2024 11:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 11:00:00 - 24/06/2024 12:00:00","Spain (ES)","France (FR)","591.43"
"24/06/2024 11:00:00 - 24/06/2024 12:00:00","France (FR)","Spain (ES)","0.00"
"24/06/2024 11:00:00 - 24/06/2024 12:00:00","Spain (ES)","Portugal (PT)","3316.00"
"24/06/2024 11:00:00 - 24/06/2024 12:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 12:00:00 - 24/06/2024 13:00:00","Spain (ES)","France (FR)","336.80"
"24/06/2024 12:00:00 - 24/06/2024 13:00:00","France (FR)","Spain (ES)","0.00"
"24/06/2024 12:00:00 - 24/06/2024 13:00:00","Spain (ES)","Portugal (PT)","3213.68"
"24/06/2024 12:00:00 - 24/06/2024 13:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 13:00:00 - 24/06/2024 14:00:00","Spain (ES)","France (FR)","238.90"
"24/06/2024 13:00:00 - 24/06/2024 14:00:00","France (FR)","Spain (ES)","0.00"
"24/06/2024 13:00:00 - 24/06/2024 14:00:00","Spain (ES)","Portugal (PT)","3204.15"
"24/06/2024 13:00:00 - 24/06/2024 14:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 14:00:00 - 24/06/2024 15:00:00","Spain (ES)","France (FR)","460.03"
"24/06/2024 14:00:00 - 24/06/2024 15:00:00","France (FR)","Spain (ES)","0.00"
"24/06/2024 14:00:00 - 24/06/2024 15:00:00","Spain (ES)","Portugal (PT)","3200.49"
"24/06/2024 14:00:00 - 24/06/2024 15:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 15:00:00 - 24/06/2024 16:00:00","Spain (ES)","France (FR)","917.09"
"24/06/2024 15:00:00 - 24/06/2024 16:00:00","France (FR)","Spain (ES)","0.00"
"24/06/2024 15:00:00 - 24/06/2024 16:00:00","Spain (ES)","Portugal (PT)","2271.44"
"24/06/2024 15:00:00 - 24/06/2024 16:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 16:00:00 - 24/06/2024 17:00:00","Spain (ES)","France (FR)","1205.92"
"24/06/2024 16:00:00 - 24/06/2024 17:00:00","France (FR)","Spain (ES)","0.00"
"24/06/2024 16:00:00 - 24/06/2024 17:00:00","Spain (ES)","Portugal (PT)","1850.09"
"24/06/2024 16:00:00 - 24/06/2024 17:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 17:00:00 - 24/06/2024 18:00:00","Spain (ES)","France (FR)","1244.70"
"24/06/2024 17:00:00 - 24/06/2024 18:00:00","France (FR)","Spain (ES)","0.00"
"24/06/2024 17:00:00 - 24/06/2024 18:00:00","Spain (ES)","Portugal (PT)","1849.17"
"24/06/2024 17:00:00 - 24/06/2024 18:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 18:00:00 - 24/06/2024 19:00:00","Spain (ES)","France (FR)","1162.47"
"24/06/2024 18:00:00 - 24/06/2024 19:00:00","France (FR)","Spain (ES)","0.00"
"24/06/2024 18:00:00 - 24/06/2024 19:00:00","Spain (ES)","Portugal (PT)","2439.01"
"24/06/2024 18:00:00 - 24/06/2024 19:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 19:00:00 - 24/06/2024 20:00:00","Spain (ES)","France (FR)","1134.25"
"24/06/2024 19:00:00 - 24/06/2024 20:00:00","France (FR)","Spain (ES)","0.00"
"24/06/2024 19:00:00 - 24/06/2024 20:00:00","Spain (ES)","Portugal (PT)","2894.26"
"24/06/2024 19:00:00 - 24/06/2024 20:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 20:00:00 - 24/06/2024 21:00:00","Spain (ES)","France (FR)","748.05"
"24/06/2024 20:00:00 - 24/06/2024 21:00:00","France (FR)","Spain (ES)","0.00"
"24/06/2024 20:00:00 - 24/06/2024 21:00:00","Spain (ES)","Portugal (PT)","2522.34"
"24/06/2024 20:00:00 - 24/06/2024 21:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 21:00:00 - 24/06/2024 22:00:00","Spain (ES)","France (FR)","0.00"
"24/06/2024 21:00:00 - 24/06/2024 22:00:00","France (FR)","Spain (ES)","710.82"
"24/06/2024 21:00:00 - 24/06/2024 22:00:00","Spain (ES)","Portugal (PT)","1378.87"
"24/06/2024 21:00:00 - 24/06/2024 22:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 22:00:00 - 24/06/2024 23:00:00","Spain (ES)","France (FR)","0.00"
"24/06/2024 22:00:00 - 24/06/2024 23:00:00","France (FR)","Spain (ES)","1616.26"
"24/06/2024 22:00:00 - 24/06/2024 23:00:00","Spain (ES)","Portugal (PT)","1016.71"
"24/06/2024 22:00:00 - 24/06/2024 23:00:00","Portugal (PT)","Spain (ES)","0.00"
"24/06/2024 23:00:00 - 25/06/2024 00:00:00","Spain (ES)","France (FR)","0.00"
"24/06/2024 23:00:00 - 25/06/2024 00:00:00","France (FR)","Spain (ES)","806.61"
"24/06/2024 23:00:00 - 25/06/2024 00:00:00","Spain (ES)","Portugal (PT)","946.75"
"24/06/2024 23:00:00 - 25/06/2024 00:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 00:00:00 - 25/06/2024 01:00:00","Spain (ES)","France (FR)","0.00"
"25/06/2024 00:00:00 - 25/06/2024 01:00:00","France (FR)","Spain (ES)","1619.06"
"25/06/2024 00:00:00 - 25/06/2024 01:00:00","Spain (ES)","Portugal (PT)","1827.08"
"25/06/2024 00:00:00 - 25/06/2024 01:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 01:00:00 - 25/06/2024 02:00:00","Spain (ES)","France (FR)","0.00"
"25/06/2024 01:00:00 - 25/06/2024 02:00:00","France (FR)","Spain (ES)","1805.93"
"25/06/2024 01:00:00 - 25/06/2024 02:00:00","Spain (ES)","Portugal (PT)","2127.90"
"25/06/2024 01:00:00 - 25/06/2024 02:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 02:00:00 - 25/06/2024 03:00:00","Spain (ES)","France (FR)","0.00"
"25/06/2024 02:00:00 - 25/06/2024 03:00:00","France (FR)","Spain (ES)","1671.82"
"25/06/2024 02:00:00 - 25/06/2024 03:00:00","Spain (ES)","Portugal (PT)","1977.56"
"25/06/2024 02:00:00 - 25/06/2024 03:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 03:00:00 - 25/06/2024 04:00:00","Spain (ES)","France (FR)","0.00"
"25/06/2024 03:00:00 - 25/06/2024 04:00:00","France (FR)","Spain (ES)","1753.82"
"25/06/2024 03:00:00 - 25/06/2024 04:00:00","Spain (ES)","Portugal (PT)","1987.66"
"25/06/2024 03:00:00 - 25/06/2024 04:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 04:00:00 - 25/06/2024 05:00:00","Spain (ES)","France (FR)","0.00"
"25/06/2024 04:00:00 - 25/06/2024 05:00:00","France (FR)","Spain (ES)","1783.83"
"25/06/2024 04:00:00 - 25/06/2024 05:00:00","Spain (ES)","Portugal (PT)","1838.93"
"25/06/2024 04:00:00 - 25/06/2024 05:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 05:00:00 - 25/06/2024 06:00:00","Spain (ES)","France (FR)","0.00"
"25/06/2024 05:00:00 - 25/06/2024 06:00:00","France (FR)","Spain (ES)","1720.95"
"25/06/2024 05:00:00 - 25/06/2024 06:00:00","Spain (ES)","Portugal (PT)","2038.72"
"25/06/2024 05:00:00 - 25/06/2024 06:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 06:00:00 - 25/06/2024 07:00:00","Spain (ES)","France (FR)","0.00"
"25/06/2024 06:00:00 - 25/06/2024 07:00:00","France (FR)","Spain (ES)","1932.92"
"25/06/2024 06:00:00 - 25/06/2024 07:00:00","Spain (ES)","Portugal (PT)","1700.67"
"25/06/2024 06:00:00 - 25/06/2024 07:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 07:00:00 - 25/06/2024 08:00:00","Spain (ES)","France (FR)","0.00"
"25/06/2024 07:00:00 - 25/06/2024 08:00:00","France (FR)","Spain (ES)","1948.19"
"25/06/2024 07:00:00 - 25/06/2024 08:00:00","Spain (ES)","Portugal (PT)","1082.33"
"25/06/2024 07:00:00 - 25/06/2024 08:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 08:00:00 - 25/06/2024 09:00:00","Spain (ES)","France (FR)","0.00"
"25/06/2024 08:00:00 - 25/06/2024 09:00:00","France (FR)","Spain (ES)","534.93"
"25/06/2024 08:00:00 - 25/06/2024 09:00:00","Spain (ES)","Portugal (PT)","1678.37"
"25/06/2024 08:00:00 - 25/06/2024 09:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 09:00:00 - 25/06/2024 10:00:00","Spain (ES)","France (FR)","0.00"
"25/06/2024 09:00:00 - 25/06/2024 10:00:00","France (FR)","Spain (ES)","463.10"
"25/06/2024 09:00:00 - 25/06/2024 10:00:00","Spain (ES)","Portugal (PT)","2978.82"
"25/06/2024 09:00:00 - 25/06/2024 10:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 10:00:00 - 25/06/2024 11:00:00","Spain (ES)","France (FR)","0.00"
"25/06/2024 10:00:00 - 25/06/2024 11:00:00","France (FR)","Spain (ES)","928.66"
"25/06/2024 10:00:00 - 25/06/2024 11:00:00","Spain (ES)","Portugal (PT)","3546.77"
"25/06/2024 10:00:00 - 25/06/2024 11:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 11:00:00 - 25/06/2024 12:00:00","Spain (ES)","France (FR)","0.00"
"25/06/2024 11:00:00 - 25/06/2024 12:00:00","France (FR)","Spain (ES)","1660.66"
"25/06/2024 11:00:00 - 25/06/2024 12:00:00","Spain (ES)","Portugal (PT)","3706.96"
"25/06/2024 11:00:00 - 25/06/2024 12:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 12:00:00 - 25/06/2024 13:00:00","Spain (ES)","France (FR)","0.00"
"25/06/2024 12:00:00 - 25/06/2024 13:00:00","France (FR)","Spain (ES)","2184.21"
"25/06/2024 12:00:00 - 25/06/2024 13:00:00","Spain (ES)","Portugal (PT)","3761.32"
"25/06/2024 12:00:00 - 25/06/2024 13:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 13:00:00 - 25/06/2024 14:00:00","Spain (ES)","France (FR)","0.00"
"25/06/2024 13:00:00 - 25/06/2024 14:00:00","France (FR)","Spain (ES)","2070.59"
"25/06/2024 13:00:00 - 25/06/2024 14:00:00","Spain (ES)","Portugal (PT)","3598.58"
"25/06/2024 13:00:00 - 25/06/2024 14:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 14:00:00 - 25/06/2024 15:00:00","Spain (ES)","France (FR)","0.00"
"25/06/2024 14:00:00 - 25/06/2024 15:00:00","France (FR)","Spain (ES)","2305.36"
"25/06/2024 14:00:00 - 25/06/2024 15:00:00","Spain (ES)","Portugal (PT)","3365.89"
"25/06/2024 14:00:00 - 25/06/2024 15:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 15:00:00 - 25/06/2024 16:00:00","Spain (ES)","France (FR)","0.00"
"25/06/2024 15:00:00 - 25/06/2024 16:00:00","France (FR)","Spain (ES)","1739.27"
"25/06/2024 15:00:00 - 25/06/2024 16:00:00","Spain (ES)","Portugal (PT)","3323.21"
"25/06/2024 15:00:00 - 25/06/2024 16:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 16:00:00 - 25/06/2024 17:00:00","Spain (ES)","France (FR)","0.00"
"25/06/2024 16:00:00 - 25/06/2024 17:00:00","France (FR)","Spain (ES)","1616.91"
"25/06/2024 16:00:00 - 25/06/2024 17:00:00","Spain (ES)","Portugal (PT)","3157.16"
"25/06/2024 16:00:00 - 25/06/2024 17:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 17:00:00 - 25/06/2024 18:00:00","Spain (ES)","France (FR)","0.00"
"25/06/2024 17:00:00 - 25/06/2024 18:00:00","France (FR)","Spain (ES)","456.86"
"25/06/2024 17:00:00 - 25/06/2024 18:00:00","Spain (ES)","Portugal (PT)","3243.40"
"25/06/2024 17:00:00 - 25/06/2024 18:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 18:00:00 - 25/06/2024 19:00:00","Spain (ES)","France (FR)","693.80"
"25/06/2024 18:00:00 - 25/06/2024 19:00:00","France (FR)","Spain (ES)","0.00"
"25/06/2024 18:00:00 - 25/06/2024 19:00:00","Spain (ES)","Portugal (PT)","2802.46"
"25/06/2024 18:00:00 - 25/06/2024 19:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 19:00:00 - 25/06/2024 20:00:00","Spain (ES)","France (FR)","1071.93"
"25/06/2024 19:00:00 - 25/06/2024 20:00:00","France (FR)","Spain (ES)","0.00"
"25/06/2024 19:00:00 - 25/06/2024 20:00:00","Spain (ES)","Portugal (PT)","2611.72"
"25/06/2024 19:00:00 - 25/06/2024 20:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 20:00:00 - 25/06/2024 21:00:00","Spain (ES)","France (FR)","19.84"
"25/06/2024 20:00:00 - 25/06/2024 21:00:00","France (FR)","Spain (ES)","0.00"
"25/06/2024 20:00:00 - 25/06/2024 21:00:00","Spain (ES)","Portugal (PT)","1846.97"
"25/06/2024 20:00:00 - 25/06/2024 21:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 21:00:00 - 25/06/2024 22:00:00","Spain (ES)","France (FR)","0.00"
"25/06/2024 21:00:00 - 25/06/2024 22:00:00","France (FR)","Spain (ES)","1493.96"
"25/06/2024 21:00:00 - 25/06/2024 22:00:00","Spain (ES)","Portugal (PT)","944.41"
"25/06/2024 21:00:00 - 25/06/2024 22:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 22:00:00 - 25/06/2024 23:00:00","Spain (ES)","France (FR)","0.00"
"25/06/2024 22:00:00 - 25/06/2024 23:00:00","France (FR)","Spain (ES)","1766.81"
"25/06/2024 22:00:00 - 25/06/2024 23:00:00","Spain (ES)","Portugal (PT)","975.42"
"25/06/2024 22:00:00 - 25/06/2024 23:00:00","Portugal (PT)","Spain (ES)","0.00"
"25/06/2024 23:00:00 - 26/06/2024 00:00:00","Spain (ES)","France (FR)","0.00"
"25/06/2024 23:00:00 - 26/06/2024 00:00:00","France (FR)","Spain (ES)","1916.19"
"25/06/2024 23:00:00 - 26/06/2024 00:00:00","Spain (ES)","Portugal (PT)","1660.72"
"25/06/2024 23:00:00 - 26/06/2024 00:00:00","Portugal (PT)","Spain (ES)","0.00"
"26/06/2024 00:00:00 - 26/06/2024 01:00:00","Spain (ES)","France (FR)","0.00"
"26/06/2024 00:00:00 - 26/06/2024 01:00:00","France (FR)","Spain (ES)","1809.68"
"26/06/2024 00:00:00 - 26/06/2024 01:00:00","Spain (ES)","Portugal (PT)","1939.06"
"26/06/2024 00:00:00 - 26/06/2024 01:00:00","Portugal (PT)","Spain (ES)","0.00"
"26/06/2024 01:00:00 - 26/06/2024 02:00:00","Spain (ES)","France (FR)","0.00"
"26/06/2024 01:00:00 - 26/06/2024 02:00:00","France (FR)","Spain (ES)","1403.15"
"26/06/2024 01:00:00 - 26/06/2024 02:00:00","Spain (ES)","Portugal (PT)","2156.75"
"26/06/2024 01:00:00 - 26/06/2024 02:00:00","Portugal (PT)","Spain (ES)","0.00"
"26/06/2024 02:00:00 - 26/06/2024 03:00:00","Spain (ES)","France (FR)","0.00"
"26/06/2024 02:00:00 - 26/06/2024 03:00:00","France (FR)","Spain (ES)","1369.48"
"26/06/2024 02:00:00 - 26/06/2024 03:00:00","Spain (ES)","Portugal (PT)","2453.85"
"26/06/2024 02:00:00 - 26/06/2024 03:00:00","Portugal (PT)","Spain (ES)","0.00"
"26/06/2024 03:00:00 - 26/06/2024 04:00:00","Spain (ES)","France (FR)","0.00"
"26/06/2024 03:00:00 - 26/06/2024 04:00:00","France (FR)","Spain (ES)","1244.30"
"26/06/2024 03:00:00 - 26/06/2024 04:00:00","Spain (ES)","Portugal (PT)","2436.06"
"26/06/2024 03:00:00 - 26/06/2024 04:00:00","Portugal (PT)","Spain (ES)","0.00"
"26/06/2024 04:00:00 - 26/06/2024 05:00:00","Spain (ES)","France (FR)","0.00"
"26/06/2024 04:00:00 - 26/06/2024 05:00:00","France (FR)","Spain (ES)","1217.69"
"26/06/2024 04:00:00 - 26/06/2024 05:00:00","Spain (ES)","Portugal (PT)","2377.92"
"26/06/2024 04:00:00 - 26/06/2024 05:00:00","Portugal (PT)","Spain (ES)","0.00"
"26/06/2024 05:00:00 - 26/06/2024 06:00:00","Spain (ES)","France (FR)","0.00"
"26/06/2024 05:00:00 - 26/06/2024 06:00:00","France (FR)","Spain (ES)","1312.90"
"26/06/2024 05:00:00 - 26/06/2024 06:00:00","Spain (ES)","Portugal (PT)","2478.52"
"26/06/2024 05:00:00 - 26/06/2024 06:00:00","Portugal (PT)","Spain (ES)","0.00"
"26/06/2024 06:00:00 - 26/06/2024 07:00:00","Spain (ES)","France (FR)","0.00"
"26/06/2024 06:00:00 - 26/06/2024 07:00:00","France (FR)","Spain (ES)","1360.04"
"26/06/2024 06:00:00 - 26/06/2024 07:00:00","Spain (ES)","Portugal (PT)","2506.86"
"26/06/2024 06:00:00 - 26/06/2024 07:00:00","Portugal (PT)","Spain (ES)","0.00"
"26/06/2024 07:00:00 - 26/06/2024 08:00:00","Spain (ES)","France (FR)","0.00"
"26/06/2024 07:00:00 - 26/06/2024 08:00:00","France (FR)","Spain (ES)","1268.79"
"26/06/2024 07:00:00 - 26/06/2024 08:00:00","Spain (ES)","Portugal (PT)","1619.90"
"26/06/2024 07:00:00 - 26/06/2024 08:00:00","Portugal (PT)","Spain (ES)","0.00"
"26/06/2024 08:00:00 - 26/06/2024 09:00:00","Spain (ES)","France (FR)","0.00"
"26/06/2024 08:00:00 - 26/06/2024 09:00:00","France (FR)","Spain (ES)","667.26"
"26/06/2024 08:00:00 - 26/06/2024 09:00:00","Spain (ES)","Portugal (PT)","1941.74"
"26/06/2024 08:00:00 - 26/06/2024 09:00:00","Portugal (PT)","Spain (ES)","0.00"
"26/06/2024 09:00:00 - 26/06/2024 10:00:00","Spain (ES)","France (FR)","0.00"
"26/06/2024 09:00:00 - 26/06/2024 10:00:00","France (FR)","Spain (ES)","1622.87"
"26/06/2024 09:00:00 - 26/06/2024 10:00:00","Spain (ES)","Portugal (PT)","3226.34"
"26/06/2024 09:00:00 - 26/06/2024 10:00:00","Portugal (PT)","Spain (ES)","0.00"
"26/06/2024 10:00:00 - 26/06/2024 11:00:00","Spain (ES)","France (FR)","0.00"
"26/06/2024 10:00:00 - 26/06/2024 11:00:00","France (FR)","Spain (ES)","2014.93"
"26/06/2024 10:00:00 - 26/06/2024 11:00:00","Spain (ES)","Portugal (PT)","3579.79"
"26/06/2024 10:00:00 - 26/06/2024 11:00:00","Portugal (PT)","Spain (ES)","0.00"
"26/06/2024 11:00:00 - 26/06/2024 12:00:00","Spain (ES)","France (FR)","0.00"
"26/06/2024 11:00:00 - 26/06/2024 12:00:00","France (FR)","Spain (ES)","2216.84"
"26/06/2024 11:00:00 - 26/06/2024 12:00:00","Spain (ES)","Portugal (PT)","3934.88"
"26/06/2024 11:00:00 - 26/06/2024 12:00:00","Portugal (PT)","Spain (ES)","0.00"
"26/06/2024 12:00:00 - 26/06/2024 13:00:00","Spain (ES)","France (FR)","0.00"
"26/06/2024 12:00:00 - 26/06/2024 13:00:00","France (FR)","Spain (ES)","2033.88"
"26/06/2024 12:00:00 - 26/06/2024 13:00:00","Spain (ES)","Portugal (PT)","3556.45"
"26/06/2024 12:00:00 - 26/06/2024 13:00:00","Portugal (PT)","Spain (ES)","0.00"
"26/06/2024 13:00:00 - 26/06/2024 14:00:00","Spain (ES)","France (FR)","0.00"
"26/06/2024 13:00:00 - 26/06/2024 14:00:00","France (FR)","Spain (ES)","2029.48"
"26/06/2024 13:00:00 - 26/06/2024 14:00:00","Spain (ES)","Portugal (PT)","3311.69"
"26/06/2024 13:00:00 - 26/06/2024 14:00:00","Portugal (PT)","Spain (ES)","0.00"
"26/06/2024 14:00:00 - 26/06/2024 15:00:00","Spain (ES)","France (FR)","0.00"
"26/06/2024 14:00:00 - 26/06/2024 15:00:00","France (FR)","Spain (ES)","1893.76"
"26/06/2024 14:00:00 - 26/06/2024 15:00:00","Spain (ES)","Portugal (PT)","3381.28"
