"MTU","Out Area","In Area","Physical Flow (MW)"
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","France (FR)","Spain (ES)","3047.41"
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","Spain (ES)","Portugal (PT)","1992.33"
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","France (FR)","Spain (ES)","3061.72"
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","Spain (ES)","Portugal (PT)","2071.49"
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","France (FR)","Spain (ES)","2195.15"
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","Spain (ES)","Portugal (PT)","470.81"
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","France (FR)","Spain (ES)","1314.09"
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","Spain (ES)","Portugal (PT)","0.00"
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","Portugal (PT)","Spain (ES)","273.68"
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","France (FR)","Spain (ES)","787.63"
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","Spain (ES)","Portugal (PT)","515.62"
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","France (FR)","Spain (ES)","335.61"
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","Spain (ES)","Portugal (PT)","1442.49"
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","France (FR)","Spain (ES)","850.13"
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","Spain (ES)","Portugal (PT)","2800.46"
