"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"02/01/2023 01:45 - 02/01/2023 02:00","CTA|ES","18132.00","17850.00"
"02/01/2023 02:00 - 02/01/2023 02:15","CTA|ES","17976.00","17574.00"
"02/01/2023 02:15 - 02/01/2023 02:30","CTA|ES","17688.00","17396.00"
"02/01/2023 02:30 - 02/01/2023 02:45","CTA|ES","17552.00","17249.00"
"02/01/2023 02:45 - 02/01/2023 03:00","CTA|ES","17396.00","17134.00"
"02/01/2023 03:00 - 02/01/2023 03:15","CTA|ES","17300.00","16990.00"
"02/01/2023 03:15 - 02/01/2023 03:30","CTA|ES","17264.00","16935.00"
"02/01/2023 03:30 - 02/01/2023 03:45","CTA|ES","17204.00","16909.00"
"02/01/2023 03:45 - 02/01/2023 04:00","CTA|ES","17140.00","16912.00"
"02/01/2023 04:00 - 02/01/2023 04:15","CTA|ES","17208.00","16884.00"
"02/01/2023 04:15 - 02/01/2023 04:30","CTA|ES","17208.00","16936.00"
"02/01/2023 04:30 - 02/01/2023 04:45","CTA|ES","17220.00","17015.00"
"02/01/2023 04:45 - 02/01/2023 05:00","CTA|ES","17200.00","17141.00"
"02/01/2023 05:00 - 02/01/2023 05:15","CTA|ES","17504.00","17149.00"
"02/01/2023 05:15 - 02/01/2023 05:30","CTA|ES","17688.00","17439.00"
"02/01/2023 05:30 - 02/01/2023 05:45","CTA|ES","17848.00","17842.00"
"02/01/2023 05:45 - 02/01/2023 06:00","CTA|ES","18272.00","18341.00"
"02/01/2023 06:00 - 02/01/2023 06:15","CTA|ES","19268.00","18861.00"
"02/01/2023 06:15 - 02/01/2023 06:30","CTA|ES","19752.00","19482.00"
"02/01/2023 06:30 - 02/01/2023 06:45","CTA|ES","20236.00","20132.00"
"02/01/2023 06:45 - 02/01/2023 07:00","CTA|ES","20804.00","20803.00"
"02/01/2023 07:00 - 02/01/2023 07:15","CTA|ES","21752.00","21530.00"
"02/01/2023 07:15 - 02/01/2023 07:30","CTA|ES","22156.00","22226.00"
