"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"05/01/2022 13:00 - 05/01/2022 14:00","CTA|ES","31771.00","31675.00"
"05/01/2022 14:00 - 05/01/2022 15:00","CTA|ES","31128.00","31010.00"
"05/01/2022 15:00 - 05/01/2022 16:00","CTA|ES","30129.00","30003.00"
"05/01/2022 16:00 - 05/01/2022 17:00","CTA|ES","29775.00","29559.00"
"05/01/2022 17:00 - 05/01/2022 18:00","CTA|ES","29788.00","29585.00"
"05/01/2022 18:00 - 05/01/2022 19:00","CTA|ES","30554.00","30345.00"
"05/01/2022 19:00 - 05/01/2022 20:00","CTA|ES","30805.00","30281.00"
"05/01/2022 20:00 - 05/01/2022 21:00","CTA|ES","31001.00","30531.00"
"05/01/2022 21:00 - 05/01/2022 22:00","CTA|ES","30267.00","30130.00"
"05/01/2022 22:00 - 05/01/2022 23:00","CTA|ES","28127.00","28315.00"
"05/01/2022 23:00 - 06/01/2022 00:00","CTA|ES","26065.00","26426.00"
"06/01/2022 00:00 - 06/01/2022 01:00","CTA|ES","24523.00","25403.00"
"06/01/2022 01:00 - 06/01/2022 02:00","CTA|ES","22677.00","23591.00"
"06/01/2022 02:00 - 06/01/2022 03:00","CTA|ES","21284.00","22190.00"
"06/01/2022 03:00 - 06/01/2022 04:00","CTA|ES","20486.00","20866.00"
"06/01/2022 04:00 - 06/01/2022 05:00","CTA|ES","20148.00","20486.00"
"06/01/2022 05:00 - 06/01/2022 06:00","CTA|ES","20108.00","20423.00"
"06/01/2022 06:00 - 06/01/2022 07:00","CTA|ES","20607.00","20849.00"
"06/01/2022 07:00 - 06/01/2022 08:00","CTA|ES","21292.00","21368.00"
"06/01/2022 08:00 - 06/01/2022 09:00","CTA|ES","21817.00","21200.00"
"06/01/2022 09:00 - 06/01/2022 10:00","CTA|ES","23300.00","22704.00"
"06/01/2022 10:00 - 06/01/2022 11:00","CTA|ES","24752.00","24201.00"
"06/01/2022 11:00 - 06/01/2022 12:00","CTA|ES","25040.00","24643.00"
"06/01/2022 12:00 - 06/01/2022 13:00","CTA|ES","24856.00","24962.00"
"06/01/2022 13:00 - 06/01/2022 14:00","CTA|ES","25111.00","25237.00"
"06/01/2022 14:00 - 06/01/2022 15:00","CTA|ES","25319.00","25520.00"
"06/01/2022 15:00 - 06/01/2022 16:00","CTA|ES","24387.00","24150.00"
"06/01/2022 16:00 - 06/01/2022 17:00","CTA|ES","23876.00","23706.00"
"06/01/2022 17:00 - 06/01/2022 18:00","CTA|ES","24388.00","24162.00"
"06/01/2022 18:00 - 06/01/2022 19:00","CTA|ES","26611.00","26291.00"
"06/01/2022 19:00 - 06/01/2022 20:00","CTA|ES","27957.00","27632.00"
"06/01/2022 20:00 - 06/01/2022 21:00","CTA|ES","28840.00","28809.00"
"06/01/2022 21:00 - 06/01/2022 22:00","CTA|ES","29309.00","29237.00"
"06/01/2022 22:00 - 06/01/2022 23:00","CTA|ES","28079.00","28184.00"
"06/01/2022 23:00 - 07/01/2022 00:00","CTA|ES","25915.00","26158.00"
"07/01/2022 00:00 - 07/01/2022 01:00","CTA|ES","24213.00","23483.00"
"07/01/2022 01:00 - 07/01/2022 02:00","CTA|ES","22480.00","21647.00"
"07/01/2022 02:00 - 07/01/2022 03:00","CTA|ES","21292.00","20478.00"
"07/01/2022 03:00 - 07/01/2022 04:00","CTA|ES","20706.00","20029.00"
"07/01/2022 04:00 - 07/01/2022 05:00","CTA|ES","20647.00","19881.00"
"07/01/2022 05:00 - 07/01/2022 06:00","CTA|ES","21258.00","20417.00"
"07/01/2022 06:00 - 07/01/2022 07:00","CTA|ES","23127.00","22162.00"
"07/01/2022 07:00 - 07/01/2022 08:00","CTA|ES","25767.00","24549.00"
"07/01/2022 08:00 - 07/01/2022 09:00","CTA|ES","27778.00","27250.00"
"07/01/2022 09:00 - 07/01/2022 10:00","CTA|ES","29656.00","29734.00"
"07/01/2022 10:00 - 07/01/2022 11:00","CTA|ES","30690.00","31288.00"
"07/01/2022 11:00 - 07/01/2022 12:00","CTA|ES","30521.00","31234.00"
"07/01/2022 12:00 - 07/01/2022 13:00","CTA|ES","30194.00","31169.00"
"07/01/2022 13:00 - 07/01/2022 14:00","CTA|ES","30397.00","31297.00"
"07/01/2022 14:00 - 07/01/2022 15:00","CTA|ES","30357.00","31111.00"
"07/01/2022 15:00 - 07/01/2022 16:00","CTA|ES","29521.00","30242.00"
"07/01/2022 16:00 - 07/01/2022 17:00","CTA|ES","29212.00","29764.00"
"07/01/2022 17:00 - 07/01/2022 18:00","CTA|ES","29408.00","30089.00"
"07/01/2022 18:00 - 07/01/2022 19:00","CTA|ES","31271.00","31751.00"
"07/01/2022 19:00 - 07/01/2022 20:00","CTA|ES","32420.00","32335.00"
"07/01/2022 20:00 - 07/01/2022 21:00","CTA|ES","33087.00","32549.00"
"07/01/2022 21:00 - 07/01/2022 22:00","CTA|ES","32597.00","32162.00"
"07/01/2022 22:00 - 07/01/2022 23:00","CTA|ES","30299.00","29653.00"
"07/01/2022 23:00 - 08/01/2022 00:00","CTA|ES","27675.00","26845.00"
"08/01/2022 00:00 - 08/01/2022 01:00","CTA|ES","25942.00","26026.00"
"08/01/2022 01:00 - 08/01/2022 02:00","CTA|ES","23912.00","24129.00"
"08/01/2022 02:00 - 08/01/2022 03:00","CTA|ES","22497.00","22668.00"
"08/01/2022 03:00 - 08/01/2022 04:00","CTA|ES","21849.00","21821.00"
"08/01/2022 04:00 - 08/01/2022 05:00","CTA|ES","21542.00","21477.00"
"08/01/2022 05:00 - 08/01/2022 06:00","CTA|ES","21638.00","21571.00"
"08/01/2022 06:00 - 08/01/2022 07:00","CTA|ES","22356.00","22150.00"
"08/01/2022 07:00 - 08/01/2022 08:00","CTA|ES","23603.00","23343.00"
"08/01/2022 08:00 - 08/01/2022 09:00","CTA|ES","24867.00","24969.00"
"08/01/2022 09:00 - 08/01/2022 10:00","CTA|ES","26939.00","27394.00"
"08/01/2022 10:00 - 08/01/2022 11:00","CTA|ES","28682.00","29243.00"
"08/01/2022 11:00 - 08/01/2022 12:00","CTA|ES","28988.00","29103.00"
"08/01/2022 12:00 - 08/01/2022 13:00","CTA|ES","29002.00","29123.00"
"08/01/2022 13:00 - 08/01/2022 14:00","CTA|ES","29376.00","29094.00"
"08/01/2022 14:00 - 08/01/2022 15:00","CTA|ES","29475.00","29003.00"
"08/01/2022 15:00 - 08/01/2022 16:00","CTA|ES","28464.00","28083.00"
"08/01/2022 16:00 - 08/01/2022 17:00","CTA|ES","27669.00","27356.00"
"08/01/2022 17:00 - 08/01/2022 18:00","CTA|ES","27852.00","27651.00"
"08/01/2022 18:00 - 08/01/2022 19:00","CTA|ES","29993.00","29536.00"
"08/01/2022 19:00 - 08/01/2022 20:00","CTA|ES","31156.00","30502.00"
"08/01/2022 20:00 - 08/01/2022 21:00","CTA|ES","31764.00","31101.00"
"08/01/2022 21:00 - 08/01/2022 22:00","CTA|ES","31606.00","30861.00"
"08/01/2022 22:00 - 08/01/2022 23:00","CTA|ES","29474.00","29177.00"
"08/01/2022 23:00 - 09/01/2022 00:00","CTA|ES","27108.00","26957.00"
"09/01/2022 00:00 - 09/01/2022 01:00","CTA|ES","25059.00","24639.00"
"09/01/2022 01:00 - 09/01/2022 02:00","CTA|ES","23142.00","22690.00"
"09/01/2022 02:00 - 09/01/2022 03:00","CTA|ES","21719.00","21479.00"
"09/01/2022 03:00 - 09/01/2022 04:00","CTA|ES","20859.00","20777.00"
"09/01/2022 04:00 - 09/01/2022 05:00","CTA|ES","20371.00","20478.00"
"09/01/2022 05:00 - 09/01/2022 06:00","CTA|ES","20384.00","20500.00"
